prediction,EVL,EVLw,EVLR,EVLRw,EVLR+
"D,E|L",+,+,+,+,+
"D,E|L,R",+,+,+,+,+
"D,E|L,R,V",+,+,+,+,?
"D,E|L,V",+,+,?,?,?
"D,E|R",+,+,+,+,+
"D,E|R,V",+,?,+,?,?
"D,E|V",+,?,?,?,?
"D,E|{}",+,+,+,+,+
"D,L|E",?,?,?,?,?
"D,L|E,R",?,?,?,?,?
"D,L|E,R,V",?,?,?,?,?
"D,L|E,V",?,?,?,?,?
"D,L|R",-,-,-,-,-
"D,L|R,V",-,?,-,?,?
"D,L|V",-,?,-,?,?
"D,L|{}",-,-,-,-,-
"D,R|E",0,0,+,+,+
"D,R|E,L",0,0,+,+,+
"D,R|E,L,V",0,0,+,+,+
"D,R|E,V",0,0,?,?,?
"D,R|L",0,0,0,0,0
"D,R|L,V",0,0,+,?,?
"D,R|V",0,0,?,?,?
"D,R|{}",0,0,0,0,0
"D,V|E",?,?,?,?,?
"D,V|E,L",+,+,?,?,?
"D,V|E,L,R",+,+,+,+,+
"D,V|E,R",?,?,?,?,?
"D,V|L",+,?,+,?,+
"D,V|L,R",+,?,+,?,+
"D,V|R",?,?,?,?,?
"D,V|{}",?,?,?,?,?
"E,L|D",-,-,-,-,-
"E,L|D,R",-,-,-,-,-
"E,L|D,R,V",-,?,-,?,-
"E,L|D,V",-,?,-,?,-
"E,L|R",-,-,-,-,-
"E,L|R,V",-,?,-,?,?
"E,L|V",-,?,?,?,?
"E,L|{}",-,-,-,-,-
"E,R|D",0,0,-,-,-
"E,R|D,L",0,0,-,-,-
"E,R|D,L,V",0,0,-,-,?
"E,R|D,V",0,0,-,-,?
"E,R|L",0,0,-,-,-
"E,R|L,V",0,0,?,?,?
"E,R|V",0,0,?,?,?
"E,R|{}",0,0,-,-,-
"E,V|D",-,-,?,?,?
"E,V|D,L",0,-,+,?,+
"E,V|D,L,R",0,-,0,-,+
"E,V|D,R",-,-,-,-,?
"E,V|L",+,?,+,?,+
"E,V|L,R",+,?,+,?,+
"E,V|R",?,?,?,?,?
"E,V|{}",?,?,?,?,?
"L,R|D",0,0,0,0,0
"L,R|D,E",0,0,-,-,-
"L,R|D,E,V",0,0,?,?,?
"L,R|D,V",0,0,+,?,?
"L,R|E",0,0,-,-,-
"L,R|E,V",0,0,?,?,?
"L,R|V",0,0,?,?,?
"L,R|{}",0,0,0,0,0
"L,V|D",+,+,+,+,?
"L,V|D,E",+,+,+,+,+
"L,V|D,E,R",+,+,+,+,+
"L,V|D,R",+,+,+,+,?
"L,V|E",?,?,?,?,?
"L,V|E,R",?,?,?,?,?
"L,V|R",?,?,?,?,?
"L,V|{}",?,?,?,?,?
"R,V|D",0,0,-,?,-
"R,V|D,E",0,0,-,-,-
"R,V|D,E,L",0,0,-,-,-
"R,V|D,L",0,0,-,?,-
"R,V|E",0,0,?,?,?
"R,V|E,L",0,0,?,?,?
"R,V|L",0,0,-,?,-
"R,V|{}",0,0,-,?,-
